lect,lab,cao,outcome
92,95,490,0
63,73,465,0
78,86,530,0
98,95,380,0
88,100,470,0
68,95,370,0
94,100,470,0
85,77,360,0
98,77,375,0
83,95,450,0
100,86,515,0
95,100,510,0
94,100,460,0
68,59,315,1
69,73,500,0
68,82,325,1
94,82,450,1
83,77,355,0
95,91,495,0
82,59,520,1
92,82,350,0
92,95,360,0
71,48,410,1
91,95,440,0
51,50,390,1
49,36,340,1
54,64,390,1
97,95,350,0
32,27,315,1
68,45,320,1
83,73,450,1
92,95,400,0
75,95,490,0
95,77,345,0
92,95,440,0
77,59,375,1
95,95,445,0
92,32,330,0
97,95,425,0
95,77,335,0
72,55,415,1
100,100,335,1
75,91,395,0
80,91,370,0
95,100,470,0
17,14,425,1
78,100,380,1
2,0,315,1
68,40,365,1
100,91,395,0
74,59,360,1
89,45,385,1
74,77,405,0
71,73,490,0
80,95,330,0
85,77,340,1
37,36,335,1
91,68,380,1
86,91,340,0
91,82,400,0
88,95,315,0
83,77,415,1
2,0,400,1
80,73,400,0
72,73,320,0
80,91,300,0
69,69,285,0
69,77,300,1
74,86,400,0
100,91,365,1
97,100,340,0
96,91,340,0
8,14,310,1
97,100,350,0
100,98,425,1
55,82,340,1
73,91,495,0
82,91,370,0
49,68,375,1
88,93,405,1
99,100,400,0
77,95,430,0
99,100,510,0
97,95,500,0
73,100,430,0
76,100,395,0
83,93,405,0
96,95,395,1
99,100,425,0
89,82,330,1
77,82,385,1
74,82,440,0
94,95,410,0
94,81,390,1
50,50,330,1
97,100,340,0
53,95,500,0
99,100,360,0
83,75,330,0
94,95,455,0
44,73,415,0
92,95,315,1
97,95,545,0
94,95,425,0
94,91,415,0
92,100,540,0
68,95,400,0
88,90,430,0
79,82,335,0
97,95,450,0
83,77,485,1
97,100,360,0
82,73,375,1
89,82,400,0
100,100,355,0
9,9,310,1
97,95,375,0
91,91,465,0
100,91,420,0
39,50,480,0
100,91,365,0
99,95,365,0
86,86,340,0
3,5,325,1
97,91,495,0
97,86,440,0
100,100,490,0
99,100,360,0
91,91,500,0
99,91,335,0
56,73,390,1
99,100,445,0
99,95,355,0
97,100,350,0
83,89,415,0
91,98,510,0
92,95,505,0
76,64,415,1
80,73,370,0
89,95,535,0
77,86,400,0
30,27,395,1
59,68,385,1
94,100,395,0
97,100,475,0
89,82,390,1
85,77,365,1
94,91,355,0
97,86,355,0
88,86,465,1
92,100,455,0
99,98,385,0
100,98,305,0
59,59,410,1
100,100,390,0
99,95,340,1
91,91,415,0
99,100,460,0
57,43,365,1
89,91,440,0
96,91,515,0
49,45,405,1
92,95,465,0
67,68,420,1
62,82,330,1
97,94,385,1
94,86,410,0
89,100,525,0
87,100,495,0
76,77,375,1
84,77,215,0
70,73,420,1
90,100,435,0
62,73,420,1
57,59,375,1
95,86,345,0
71,77,440,1
92,86,410,0
10,9,400,1
86,91,375,0
65,82,425,0
100,91,420,0
97,91,535,0
76,68,345,1
0,0,390,1
67,60,340,1
87,91,485,0
24,32,360,1
97,100,415,0
86,73,350,1
43,59,260,1
100,100,410,0
92,95,380,0
67,95,400,0
92,91,535,0
100,100,340,1
92,95,390,1
100,91,320,1
62,75,355,1
60,77,360,1
94,100,360,0
95,100,440,0
68,82,415,0
98,82,340,0
98,100,415,1
98,86,445,0
44,64,350,0
84,73,355,1
92,100,380,0
90,95,330,0
78,82,345,1
65,77,335,1
57,68,405,1
75,80,435,1
95,91,380,0
87,86,410,1
70,91,390,0
35,41,385,1
98,100,390,0
57,95,520,0
78,82,365,0
100,100,420,1
41,41,350,1
98,100,405,0
92,89,435,1
95,89,495,0
16,14,350,1
27,18,360,1
100,100,425,0
65,95,365,1
54,73,365,1
89,95,345,1
97,95,440,0
81,86,500,0
89,50,380,0
5,14,405,1
78,95,370,1
100,100,540,0
57,82,305,1
83,77,405,1
89,90,430,0
63,68,340,1
71,82,370,1
68,64,455,1
83,86,400,0
97,100,360,0
51,73,370,0
98,100,485,0
83,95,400,0
100,100,535,0
98,100,360,0
73,73,420,0
89,91,400,1
83,68,415,0
90,82,365,1
98,100,435,0
90,95,430,1
19,23,350,1
76,73,360,1
92,99,510,0
100,95,425,0
48,36,430,1
100,100,410,0
68,59,340,1
81,86,420,0
97,91,540,0
98,100,535,0
83,91,370,0
85,80,370,1
98,100,585,0
52,36,355,1
97,100,400,0
92,86,410,0
83,93,375,0
63,82,420,0
83,86,525,0
39,41,300,1
2,0,415,1
92,95,350,0
55,86,360,1
50,50,310,1
80,73,370,1
69,77,370,0
86,51,330,1
69,45,340,1
9,14,335,1
64,75,420,0
91,91,330,1
97,86,455,0
95,95,335,0
75,75,430,0
70,73,385,1
83,86,335,1
83,77,340,1
84,64,335,0
30,45,340,1
6,9,405,1
88,89,340,0
95,100,500,0
83,66,345,0
100,100,375,0
84,77,350,1
73,77,365,0
94,100,400,1
94,95,340,1
69,91,440,0
95,95,400,0
91,95,400,0
92,100,325,0
98,95,260,1
98,95,370,0
89,84,485,0
94,91,400,1
92,82,315,0
0,0,405,1
94,91,305,0
97,100,455,0
86,68,380,0
44,45,340,1
45,50,360,1
45,50,315,1
77,64,345,1
95,95,320,0
81,70,320,1
97,95,375,1
89,82,360,0
81,73,365,0
97,93,375,0
75,86,355,1
81,91,480,0
89,86,365,0
97,91,355,1
97,95,410,0
72,77,310,1
94,100,410,0
83,100,340,0
53,41,370,1
53,50,340,1
100,100,335,0
84,82,480,0
83,77,485,0
91,100,320,0
